,Description,url
12,"Outline:

Procedure of early skin-to-skin contact in the operating room after cesarean delivery
- Receiving the baby
- Drying and wrapping the baby
- Cheek-to-cheek contact of the baby and the mother
- Placing the baby on the mother for STS
- Longitudinal position for STS
- Horizontal position for STS
- Diapering the baby
- Use of a hat for the baby
- Umbilical cord cutting and clamping
- Routine suctioning of the baby’s mouth and nostrils
- Guidelines for visually monitoring the baby during skin-to-skin contact",https://www.youtube.com/watch?v=6Ygd2fUkrfE&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=13
13,"Outline:
- Continuation of STS after the completion of a C-section surgery:
- Placement of the baby before mother’s transfer to the stretcher
- Transfer of the mother to the stretcher
- The 9 instinctive stages or behaviours of a newborn baby
* Crying stage
* Relaxation stage
* Awakening stage
* Activity stage
* Resting stage
* Crawling stage
* Familiarization stage
* Suckling stage
* Sleeping stage
- Importance of at least 1 hour of uninterrupted STS after delivery
- Role of STS and baby’s natural behaviour in successful breastfeeding",https://www.youtube.com/watch?v=wwRkz5DPxNA&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=14
14,"1. Introduction
  A. What is Kangaroo mother care?
  B. To whom should Kangaroo mother care be provided -
      a.  to babies who don’t require continuous monitoring
      b.  to babies whose birth weight is less than 2.5 kg and 
      c.  and to full-term babies too

2.   Components of Kangaroo mother care are -
      A. Skin to skin contact:
          a. Let down reflex
          b. Exclusive breastfeeding
      B. Mandatory breastfeeding for the first 6 months
3.  Importance of Kangaroo mother care is -
    a. it is beneficial for the baby.
    b. and beneficial for the mother as well.
4. Who can provide Kangaroo Mother Care (KMC)?
5. Basic guidelines to be followed by the KMC provider.
6. While performing KMC, type of clothing recommended for  -
    a. KMC provider
    b. and for the baby  
7. A step-wise procedure of KMC
    a. Baby’s position
    b. Feeding the baby 
    c. Things to keep in mind 
    d. Use of stretchy band  
8. How to remove the baby from the wrapped cloth during KMC.
9. Danger signs in a newborn baby while performing KMC.",https://www.youtube.com/watch?v=zo8Hdwgop6A&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=15
15,"1. Benefits of using a kangaroo bag for the mother and the baby.     2. Items required to stitch kangaroo bag    
 3. Procedure of making a kangaroo bag with an attached cap        
          * Selection of the cloth        
          * Folding and cutting the cloth for the pouch and leg openings        
          * Cutting and sewing the belts        
          * Cutting and sewing the cap        
          * Sewing the pouch        
          * Attaching two belts to the pouch        
          * Attaching the third belt        
          * Attaching the cap",https://www.youtube.com/watch?v=TqI8VCjgawY&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=16
16,"Various Physical Methods to increase the amount of breast milk:.l
  - Kangaroo mother care 
  - Improving Oxytocin reflex
      a. Hot water fomentation
      b. Massaging of mother's back and breast before feeding 
 - Correct latching 
 - Gentle pressing of the breast 
 - Night time feeding 
 - Increase frequency of breastfeeding 
 - Identify early hunger signals
 - Manual expression of milk
 - Avoid usage of artificial nipple and formula milk  
 - Increase in the confidence of mother
 - Regular weight check of baby",https://www.youtube.com/watch?v=1A7MhCz6_Yw&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=17
17,"1. Benefits of expressing breastmilk
2. How to express breastmilk by hand?
i. When to start expressing breastmilk?
ii. Preparation of appropriate container for collecting breastmilk
iii. Ways to release breastmilk from breast tissues before expressing breastmilk
iv. How to express breastmilk completely from both breasts?
v. Wrong techniques to avoid while expressing breastmilk
3. How often should a mother express breastmilk?
i. To initiate and maintain breastmilk production
ii. To build up mother’s milk supply
iii. To relieve symptoms such as engorgement, or leaking of breastmilk at work
iv. To keep nipple skin healthy
v. To keep milk for her baby while the mother is out at work.",https://www.youtube.com/watch?v=rUXrb80VlDc&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=18
18,"1. Personal hygiene before handling breastmilk.
2. Choosing appropriate containers for storing breastmilk
3. Cleaning the chosen containers before use
4. Amount of milk to be stored in each container
5. Proper labelling of containers
6. Guidelines for storage of breastmilk in a fridge
7. Guidelines for storage of breastmilk outside the fridge
7.1. Storage of breastmilk at room temperature
7.2. Storage of breastmilk in a cool bag or a cool box
8. Guidelines for freezing breastmilk..",https://www.youtube.com/watch?v=_2RhtSJyqBs&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=19
19,"1. How to make stored breastmilk ready for the baby to drink.
1.1. Personal hygiene before handling breastmilk
1.2. How to defrost frozen breastmilk
1.3. How to warm breastmilk just before feeding it to a baby
2. How to feed expressed breastmilk to a baby using -
2.1. A small cup
2.2. A paladai
2.3. A nifty cup
2.4. A spoon.
3. Important points to avoid choking while feeding expressed breastmilk to the baby",https://www.youtube.com/watch?v=6k9ZBHZLTlA&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=20
20,"Outline: 

1. Reasons for the popular use of commercial baby foods:
i. The myth: It is as good as breastmilk
ii. Using baby food is easier as compared to breastfeeding
iii. An easy way out for untrained health care workers
iv. Heavy promotion of commercial baby foods by manufacturers
v. Emotional vulnerability weakness of mothers and families

2. History of commercial baby foods promotion and why the IMS Act was passed.

3. Why should IMS promotion be regulated?
i. What is BPNI?
ii. BPNI’s list of 10 violations of the IMS Act
iii. How to register a complaint through BPNI

4. Why do IMS companies talk about the benefits of breastfeeding in their communication material?",https://www.youtube.com/watch?v=VYdpypPG-io&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=21
21,"1. Breast engorgement.
    a. What is breast engorgement?
    b. Difference between breast engorgement and breast fullness.
    c. Causes of breast engorgement.
    d. How to treat breast engorgement?
    e. Prevention of breast engorgement
2. Mastitis
    a. What is mastitis?
    b. How blocked duct develops into mastitis?
    c. Causes of mastitis.
    d. Treatment for mastitis.
    e. Prevention of mastitis.",https://www.youtube.com/watch?v=3fupGMUk7-w&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=22
22,"1. Sore or cracked nipples.
    a. Causes of sore or cracked nipples
        i. Nipple feeding
        ii. Fungal or Bacterial infection
        iii. A habit of cleaning the nipples after every feed
        iv. Baby with tongue tie
    b.  Treatment for sore or cracked nipples 
    c. Prevention of sore or cracked nipples
2. Flat or inverted nipples
    a. What are flat or inverted nipples?
    b. Things should be done in case of flat or inverted nipples 
    c. Things should be avoided in case of flat or inverted nipples",https://www.youtube.com/watch?v=_ZgrQXJQ8WI&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=23
23,"1. How to handle a newborn.
   a. hand hygiene.
   b. how to hold a newborn
2. Umbilical cord care
    a. precautions
    b. infections
3. Feeding and burping a newborn
    a. initiation of breastfeeding
    b. exclusive breastfeeding
    c. skin to skin contact
    d. hunger cues
    e. burping
4. Diapering
    a. how to clean a newborn after each bowel movement
    b. precautions
5. Diaper rash
   a. what is diaper rash
   b. causes
   c. prevention and treatment
6. Sleeping basics
   a. sleeping pattern
   b. sudden infant death syndrome (SIDS)
   c. precautions",https://www.youtube.com/watch?v=GZccmbVLNIU&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=24
24,"1. When can you start bathing a newborn baby?
    a. healthy baby.
    b. low birth weight baby
2. Precautions to be taken while bathing a newborn
3. Sponge bath
    a. precautions
    b. procedure
4. Regular bath
    a. precautions
    b. procedure
5. Traditional bath
    a. procedure
6. Safety tips for-
    a. babies living in hilly areas
    b. babies living in a cold region
7. Cradle cap
    a. what is a cradle cap?
    b. cause
    c. treatment..",https://www.youtube.com/watch?v=vVdzwO7J1Yc&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=25
25,"Essential nutrients
Hidden hunger
Type 1 nutrients
Type 2 nutrients
Names of the essential nutrients included in each category
Growth failure
Difference between type 1 and type 2 nutrients:
-Their presence in our body tissues
-Their availability from breastmilk
-Response of our body to their deficiencies
-Diagnosis of their deficiencies
-Treatment of their deficiencies.",https://www.youtube.com/watch?v=0V772hTxAQA&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=26
26,"1. What is junk food?
2. Contents of junk food
3. Commonly consumed junk food
4. Effect of sugar on insulin resistance 
5. Effect of sugar on blood pressure
6. Effect of low fiber present in junk food
7. Benefits of fiber
8. Examples of unhealthy fats
9. Effect of unhealthy fats on our health
10. Harmful effects of junk food",https://www.youtube.com/watch?v=nUC6vmVNAT0&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=27
27,"What is junk food?
Reasons for increase in junk food
Easy availability of junk food
Lack of time by mothers to prepare meals
Low cost of junk food
Ignorance of child’s likes and dislikes of food by parents 
Lack of variety in homemade meals
Addiction to junk food
Effect of mood changes on our eating pattern
Peer pressure
Misleading advertisements
Ways to avoid junk food
Being good role models
Avoid rewarding
Avoid distractions while eating
Bringing variety in homemade meals
Consideration of child's likes and dislikes
Healthy replacements of junk food
Guidelines for beverage consumption by adolescents",https://www.youtube.com/watch?v=NZMoWa46Fh8&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=28
28,"The importance of hygiene in preparing and feeding baby food.
Guidelines for maintaining personal hygiene:
- Clothing
- Hair
- Jewellery
- Coverage of cuts and wounds on the body
- Actions to be avoided in the food preparation, storage and serving area
- Correct technique of washing hands
- Teaching children to wash hands
- When to wash hands",https://www.youtube.com/watch?v=qGv589JafGo&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=29
29,"1. Food safety guidelines to be followed during preparation of baby food
        ◦ Cleaning guidelines while preparing baby food
        ◦ Cooking guidelines

&nbsp;
2. Food safety guidelines to be followed while serving of baby food
        ◦ Cleaning guidelines while serving baby food
        ◦ Guidelines to avoid choking while feeding the baby

&nbsp;
3. Food safety guidelines to store baby food
        ◦ Cooked food storage guidelines
            ▪ Outside the fridge
            ▪ In a fridge
        ◦ Ingredient storage guidelines",https://www.youtube.com/watch?v=ZhCO7opyLFk&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=30
30,"1. Definition of adolescence
2. Importance of nutrition during adolescence
3. Nutritional requirements during adolescence
4. Preparation of vegetarian recipes for adolescents
    a. Soybean cutlet 
    b. Sorghum and tomato cheela
    c. Peanut curry
    d. Pearl millet and sorghum vegetable khichdi
    e. Stuffed paratha with Sesame seed chutney
5. Nutrient content of the recipes.",https://www.youtube.com/watch?v=YyYHVGn8IvA&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=31
31,"1. Definition of adolescence
2. Nutritional requirements during adolescence
3. Importance of Nutrition during Adolescence
4. Preparation of Non-vegetarian recipes for adolescents
      a. Egg Spinach Bhurji
      b. Mutton Leg Soup
      c. Mutton Liver and Lungs curry 
      d. Minced Chicken with Dill leaves 
      e. Fish curry
5. Nutrient content of the recipes
6. Nutritional benefits of Non-vegetarian recipes.",https://www.youtube.com/watch?v=UbBveHK5Ueg&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=32
32,"Importance of Proteins
- Importance of Fats
- Role of Vitamin A
- Role of B-vitamins 
- Importance of Folate
- Role of Iron and Vitamin C 
- Role of Calcium and Vitamin-D
- Role of Choline
- Role of Zinc 
- Role of Iodine 
- Role of Magnesium 
- Eliminating substance abuse
- Importance of weight management 
- Lean body mass and its impact on neonatal health 
- Obesity and its effect on fetal growth 
- Food sources",https://www.youtube.com/watch?v=bET6ya8VgCk&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=33
33,"1. Importance of nutrition during pregnancy 
2. Benefits of a well nourished diet for the pregnant mother
3. Benefits of a well nourished diet for the foetus
4. Things to be avoided during pregnancy
5. Recommended fluid intake during pregnancy
6. Importance of absorption of nutrients
7. Ways to reduce phytic acid and oxalate content in food
8. Procedure for sprouting
9. Preparation of vegetarian recipes for pregnant women:
* Sprouted cowpea tikki
* Mixed pulse uttapam
* Bottle gourd steamed dumplings
10. Various nutrients obtained from the above mentioned recipes",https://www.youtube.com/watch?v=brzpq4UtyVc&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=34
34,"- Importance of a nutrient dense diet during pregnancy
- Maintaining correct gestational weight 
- Consequences of low maternal nutrition 
*Items to avoid during pregnancy 
*Using appropriate cooking methods to improve nutrient absorption
*Soaking
*Germination/sprouting 
*Cooking
*Fermentation.
- Recipes for pregnant women and nutrients obtained. 
*Lobiya idli 
*Millet khichdi 
*Moong wrap",https://www.youtube.com/watch?v=ITsJM0pKeVs&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=35
35,"Importance of non-vegetarian food during pregnancy
- Non-vegetarian foods rich in protein, zinc, choline, iron and calcium
- Nutrients essential for the growth and development of the fetus
Various non-vegetarian recipes
- Kerala style egg curry
- Chicken chettinad
- Chicken liver sukka
- Fish in spinach curry
- Meatball curry
Various nutrients obtained from these recipes",https://www.youtube.com/watch?v=Jx8Qlvs4FxE&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=36
36,"Importance of nutrition in lactating mothers -
      a. Nutrition requirements during lactation
      b. Essential nutrients required during lactation
      c. Iodine and Vitamin D requirements
      d. Importance of galactogogues
      e. Various galactogogues that can be had by lactating mothers

Vegetarian recipes for lactating mothers -
   1. Mixed Sprouts chilla
   2. Garlic, Flaxseed and Sesame chutney
   3. Peanut, Spinach and Fenugreek cutlet
   4. Pearl millet and Amaranth leaves muthia
   5. Sprouted Fenugreek seeds curry",https://www.youtube.com/watch?v=C2DueVzzZy8&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=37
37,"Non-Vegetarian Recipes for Lactating Mothers.
1. Importance of nutrition in lactating mothers.
    a. Nutrition requirements during lactation.
    b. Essential nutrients required during lactation.
    c. Importance of galactogogues.
    d. Various galactogogues that can be had by lactating mothers.


2. Non-veg recipes for lactating mothers -
    a. Chicken curry with drumsticks.
    b. Chicken in peanut garlic masala.
    c. Fish coconut curry.
    d. Mixed vegetable curry with egg .
    e. Fish spinach curry.",https://www.youtube.com/watch?v=QqvPBafXfZo&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=38
38,"1. Recommended duration for breastfeeding.
2. Reasons to start nutritious home-cooked .complementary food at 6 months of age.
3. Common complementary feeding guidelines for 6 to 24 months old babies:
*Adding new food to a baby’s diet
*The 8 essential food groups in a baby’s diet
*Order of adding new food groups to a baby’s diet
*Additional guidelines for giving fruits to babies
*Recommendation for babies who do not have access to breastmilk
*Water and breastmilk
*Safe preparation of complementary food",https://www.youtube.com/watch?v=-u60U73SN70&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=39
39,"1. Complementary food for 6-month-old babies:.
          Baby’s first meal.
          Guidelines for the introduction of new food
          Consistency and quantity of food
          Frequency of meals per day
2. Changes in the quantity, consistency and frequency of food for:
           7-month-old babies
           8-month-old babies
           9 to 11-month-old babies
           12 to 24-month-old babies
3. Snacks for 1-year-old babies
4. Foods to avoid before 1 and 2 years of age.",https://www.youtube.com/watch?v=ZdUqQwR58VM&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=40
40,"1. Importance of powder recipes 
2. Initiation of complementary feeding 
3. Various recipes of nutritious powders for 6 to 24 months old children
   a. Amylase powder
   b. Powder of seeds
   c. Powder of nuts and seeds
   d. Powder of beans
   e. Powder of curry leaves
   f. Powder of drumstick leaves
4. Benefits of each recipe
5. Nutrient composition of each recipe",https://www.youtube.com/watch?v=gykr2c53ktM&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=41
41,"1. What is complementary feeding?
2. Introduction to complementary feeding
3. Energy requirements of 6 month old babies
4. Consistency of food for 6 month old babies
5. Vegetarian recipes:
    a. Black-eyed beans puree
    b. Pumpkin puree
    c. Ragi porridge
    d. Sorghum porridge
    e. Spinach leaves puree.",https://www.youtube.com/watch?v=AtetGe0dB8U&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=42
42,"Importance of introducing complementary foods to the baby
2. Importance of non-vegetarian complementary foods
3. Things to keep in mind while introducing non-vegetarian food to  the baby
4. Energy requirements from complementary feeding for  6-month-old-baby
5. The consistency of food for 6-month-old baby
6. Non-vegetarian recipes:
    a. Egg puree
    b. Fish puree
    c. Raw banana fish porridge
    d. Chicken liver puree
    e. Chicken carrot puree.",https://www.youtube.com/watch?v=D3SasX5ZsTU&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=43
43,"1. Complementary feeding for 7 month old babies
a. Energy requirements 
b. Type of food
c. Quantity of food 
d. Frequency of food
e. Consistency of food 
f. Addition of nutritious powders in baby's food
2. Vegetarian recipes:
a. Jackfruit seeds porridge
b. Horse gram vegetable porridge 
c. Amaranth Black-eyed beans porridge
d. Fenugreek coconut puree
e. Kodo millet Bengal gram porridge",https://www.youtube.com/watch?v=Xx7SaqhN1ro&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=44
44,"Outline:
*Calories required for 8 to 11 month old babies babies
*Quantity and frequency of food to be given to these babies
*What are finger foods
*Examples of finger foods
**Egg omelette
**Cutlets
**Pancake pieces
*Precautions to be taken while preparing their food
*Preparation of vegetarian recipes for 8-11 month old babies:
*sorghum dhokli in red lentil curry
*steamed horse gram dhokla
*amaranth green gram pancake
*little millet with curd and vegetables
*Nutrients present in the recipes.",https://www.youtube.com/watch?v=6y8d9PJfuLg&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=45
45,"1. Correct latching technique for deep attachment of the baby to the breast.
  -Step-by-step procedure for attaching the baby deeply to the  breast.
  -Signs to check whether the baby has latched on correctly.
  -Signs to check whether the baby is nipple feeding.
  -Foremilk and hindmilk feeding.
  -Feeding from the second breast.
  -Baby’s correct burping position
2. Breastfeeding frequency.
  -Number of breastfeeding sessions required in 24 hours.
  -Day and night breastfeeding sessions.
  -Baby’s hunger cues.
  -Feeding during baby’s growth spurts",https://www.youtube.com/watch?v=gr94g_mmMnE&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=46
46,"1. Importance of nutritious food for children
2. Preparation of some vegetarian snacks recipes:

*Yummy sorghum and soya dosa
*Bengal gram chatlets
*Sprouted cowpea paratha 
*Sprouted moong wrap
*Sprouted soybean cutlet
*Tasty finger millet dosa
*Raw mango and crunchy peanut salad

3. Alternatives that can be used to make the recipes
4. Procedure for sprouting 
5. Procedure for malting 
6. Procedure for fermentation1. Importance of nutritious food for children",https://www.youtube.com/watch?v=dgT9ZM1yNrE&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=47
47,"Importance of minerals in our diet
Contribution of Magnesium for good health
Causes of Magnesium deficiency 
Symptoms  of Magnesium deficiency 
Risk Factors for Magnesium deficiency
Food sources of Magnesium
Magnesium content in different food sources
Factors inhibiting the absorption of Magnesium
Ways to improve Magnesium absorption
Magnesium requirements for different age groups",https://www.youtube.com/watch?v=RuhCM0myQZU&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=48
48,"Importance of magnesium.
Vegetarian sources of magnesium
Ways to improve magnesium absorption.
Magnesium-rich recipes
-Sprouted moth beans cutlet
-Sunflower seeds chutney 
-Cowpea sprouts paratha 
-Sprouted Bengal gram dry curry
-Amaranth leaves stir fry
The magnesium content in each of the above recipes.",https://www.youtube.com/watch?v=-sdB60vJTvk&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=49
49,"Importance of magnesium
Food sources of magnesium
How to enrich non-vegetarian food with magnesium-rich food
Magnesium-rich recipes:
-Dry chicken curry
-Steamed eggs dry curry
-Fish in sunflower seed gravy
-Cowpea and prawns dry curry
The magnesium content in the above recipes.
Other nutrients present in these recipes",https://www.youtube.com/watch?v=aYNp2_RQwfw&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=50
50,"Outline:

1. Importance of protein
2. Types of protein
3. Benefits of protein in the body
4. Deficiency of protein
5. Suggested protein for different age groups
6. Vegetarian sources of protein
7. Non-vegetarian sources of protein
8. Protein content of some food items
9. Digestibility of protein
10. Complementary action of protein
11. Different food items prepared with cereals and pulses:
* Millet khichdi
* Khadi rice
* Curd rice",https://www.youtube.com/watch?v=IWqVsDNFDks&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=51
51,"Importance of protein
Food sources of protein
Protein-rich vegetarian recipes
-Paneer masala
-Green gram curry
-Sorghum soya dosa
-Bengal gram cutlets
Protein content of the above-mentioned recipes.
Amino acids in grains and pulses
Complementary action of protein",https://www.youtube.com/watch?v=5OBknWmwoIw&list=PLW1XlJ-Yzv-Pkj0dmED889u-3pyclMjmL&index=52
